,Result,Size Result,Is MIS,Time,Warnings
,SS,SS,SS,SS,SS
gen400_p0.9_65.txt n=400 e=71820,"[49, 58, 76, 95, 188, 244, 281]",7,True,281.31836557388306,
gen400_p0.9_75.txt n=400 e=71820,"[43, 55, 75, 76, 194, 262]",6,True,295.0421917438507,
hamming10-4.clq.txt n=1024 e=434176,set(),0,False,1800.0,TIMEOUT
hamming8-4.clq.txt n=256 e=20864,"[8, 10, 32, 34, 40, 41, 42, 43, 44, 46, 56, 58, 104, 106, 168, 170]",16,True,40.111942768096924,
keller4.clq.txt n=171 e=9435,"[54, 55, 58, 59, 65, 68, 69, 108, 109, 112, 113, 124, 125, 128, 129]",15,True,16.386404752731323,
keller5.clq.txt n=776 e=225990,"[53, 54, 57, 58, 65, 67, 68, 107, 108, 111, 112, 123, 124, 127, 128, 227, 228, 231, 232, 239, 241, 242, 282, 283, 286, 287, 298, 299, 302, 303]",30,True,1261.5208823680878,
MANN_a27.clq.txt n=378 e=70551,"[120, 121, 122]",3,True,214.12219309806824,
MANN_a45.clq.txt n=1035 e=533115,set(),0,False,1800.0,TIMEOUT
p_hat1500-1.clq.txt n=1500 e=284923,set(),0,False,1800.0,TIMEOUT
p_hat1500-2.clq.txt n=1500 e=284923,set(),0,False,1800.0,TIMEOUT
p_hat1500-3.clq.txt n=1500 e=847244,set(),0,False,1800.0,TIMEOUT
p_hat300-2.clq.txt n=300 e=21928,"[7, 11, 13, 15, 16, 52, 59, 68, 98, 111, 115, 131, 154, 166, 168, 177, 185, 193, 206, 223, 229, 233, 240, 242, 247, 277, 283]",27,True,43.916175365448,
p_hat300-3.clq.txt n=300 e=33390,"[33, 38, 98, 200, 206, 228, 233, 241, 248]",9,True,73.79887986183167,
p_hat300_1.clq.txt n=300 e=10933,"[0, 1, 7, 9, 11, 13, 22, 33, 45, 59, 63, 64, 68, 72, 84, 98, 110, 113, 115, 131, 133, 141, 142, 154, 166, 168, 182, 185, 186, 188, 201, 209, 237, 240, 242, 247, 277, 281, 294]",39,True,25.022685050964355,
p_hat700-1.clq.txt n=700 e=60999,"[12, 21, 28, 32, 40, 41, 46, 66, 119, 124, 133, 136, 142, 164, 167, 181, 195, 197, 205, 219, 230, 231, 235, 241, 263, 277, 288, 304, 310, 315, 329, 337, 348, 373, 380, 382, 385, 398, 404, 414, 418, 425, 442, 466, 471, 472, 475, 482, 513, 518, 528, 535, 542, 546, 547, 584, 585, 595, 602, 641, 656, 658, 673, 678, 679]",65,True,218.25754642486572,
p_hat700-2.clq.txt n=700 e=121728,"[12, 21, 32, 40, 46, 79, 88, 94, 119, 120, 136, 143, 145, 159, 197, 219, 241, 288, 304, 308, 315, 348, 373, 380, 382, 400, 404, 414, 418, 425, 462, 466, 471, 475, 482, 493, 518, 528, 546, 547, 552, 563, 601, 616, 634, 644, 654, 673, 678]",49,True,732.7110412120819,
p_hat700-3.clq.txt n=700 e=183010,"[1, 82, 124, 136, 348, 359, 403, 475, 625, 632]",10,True,1286.2963225841522,
