,Result,Result,Result,Result,Result,Result,Size Result,Size Result,Size Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Is MIS,Is MIS,Is MIS,Time,Time,Time,Time,Time,Time,Warnings,Warnings,Warnings,Warnings,Warnings,Warnings
,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic
brock200_2.clq.txt n=200 e=9876,"[33, 136, 168, 139, 116, 85, 154, 187]","[1, 39, 136, 42, 139, 77, 89, 187, 188]","[192, 1, 39, 136, 167, 169, 139, 50, 115, 178, 21, 122, 187]","[10, 16, 146, 178, 18, 152, 58, 125]","[2, 134, 76, 78, 84, 25, 154, 94, 97, 98, 161, 168, 177, 116, 186, 187]","[15, 19, 38, 70, 127, 137, 149]",8,9,13,8,16,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,51.54488277,0.07245206833,524.6923068,11.58074117,91.13604212,83.36638832,,,,,,
brock200_4.clq.txt n=200 e=13089,"[176, 81, 98, 120, 154]","[161, 1, 135, 170, 143, 115]","[1, 65, 161, 135, 40, 170, 75, 143, 80, 18, 115, 179, 95]","[192, 99, 180, 69, 104, 59]","[33, 35, 69, 103, 9, 107, 111, 112, 17, 115, 26, 124, 157]","[0, 8, 13, 66]",5,6,13,6,13,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1.472961187,0.08970379829,665.2776906,12.33157706,3.17071414,28.7529242,,,,,,
brock400_2.clq.txt n=400 e=59786,"[240, 258, 5, 182, 201, 379]","[292, 135, 152, 265, 107, 397]",set(),"[165, 278, 359, 232, 342, 279, 141]","[354, 292, 135, 265, 397, 177, 210, 147, 114, 152, 222]","[22, 217, 252, 367]",6,6,0,7,11,4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,11.42202067,0.4215323925,1800,30.19722605,18.20052409,854.9510789,,,TIMEOUT,,,
brock400_4.clq.txt n=400 e=59765,"[369, 226, 163, 182, 232, 72, 159]","[321, 1, 395, 239, 277, 280]",set(),"[322, 3, 276, 42, 220, 14]","[192, 160, 66, 5, 390, 327, 263, 14, 368, 116, 24]","[8, 42, 95, 125]",7,6,0,6,11,4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10.48363972,0.4973647594,1800,32.5392549,23.76960945,78.64744306,,,TIMEOUT,,,
brock800_2.clq.txt n=800 e=208166,set(),"[737, 1, 578, 579, 292, 425, 267, 792]",set(),"[737, 323, 612, 298, 267, 413, 686]",set(),set(),0,8,0,7,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1800,1.862517595,1800,125.5769696,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
brock800_4.clq.txt n=800 e=207643,set(),"[1, 161, 741, 104, 335, 119, 345]",set(),"[432, 545, 529, 582, 87, 190, 399]",set(),set(),0,7,0,7,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1800,1.604684591,1800,107.0092204,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
C1000.9.clq.txt n=1000 e=450079,"[695, 585, 215, 508, 909]","[832, 385, 405, 968, 783]",set(),"[848, 786, 317]","[161, 389, 838, 8, 308, 410, 571, 542]",set(),5,5,0,3,8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,55.4326303,3.517694712,1800,195.1585386,89.28761411,1800,,,TIMEOUT,,,TIMEOUT
C125.9.clq.txt n=125 e=6963,"[32, 114, 107, 93]","[102, 74, 35, 70]","[89, 74, 1]","[107, 27, 4, 37]","[80, 66, 123, 86]","[21, 90]",4,4,3,4,4,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.03212666512,0.05032539368,326.3957798,5.32044363,0.02591562271,1.230406523,,,,,,
C2000.9.clq.txt n=1000 e=450079,"[832, 882, 419, 212, 107]","[832, 385, 405, 968, 783]",set(),"[216, 12, 814, 511]","[225, 519, 583, 74, 778, 591, 306, 534]",set(),5,5,0,4,8,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,55.35216188,3.208452463,1800,190.331912,60.90059161,1800,,,TIMEOUT,,,TIMEOUT
C250.9.clq.txt n=250 e=27984,"[192, 18, 4, 138, 140]","[1, 154, 131, 97]","[1, 97, 131, 154, 190]","[152, 140, 94, 6]","[81, 132, 42, 119, 216, 153, 10]","[31, 197]",5,4,5,4,7,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.3893773556,0.1825990677,1196.904026,13.7375865,0.3034040928,16.07888174,,,,,,
C500.9.clq.txt n=500 e=112332,"[402, 172, 412, 495]","[1, 74, 22, 15]",set(),"[473, 412, 495]","[224, 449, 432, 228, 453, 271]",set(),4,4,0,3,6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.520431757,0.8934230804,1800,52.37974977,2.725088358,1800,,,TIMEOUT,,,TIMEOUT
DSJC1000.5.clq.txt n=1000 e=249826,set(),"[640, 1, 550, 841, 459, 174, 431, 528, 304, 471]",set(),"[69, 904, 649, 234, 595, 500, 185, 26, 542]",set(),set(),0,10,0,9,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,1.995998144,1800,137.4920907,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
DSJC500.5.clq.txt n=500 e=62624,set(),"[1, 487, 12, 44, 464, 241, 24, 217, 282, 319]",set(),"[484, 292, 6, 388, 40, 112, 308, 284, 222]",set(),"[8, 92, 244, 371, 391, 416, 442]",0,10,0,9,0,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,0.4686601162,1800,39.75888801,1800,1588.308728,TIMEOUT,,TIMEOUT,,TIMEOUT,
gen200_p0.9_44.txt n=200 e=17910,"[71, 199, 11, 27, 75]","[1, 97, 36, 41, 91]","[1, 33, 30, 31]","[121, 8, 137, 10, 78]","[19, 100, 139, 172, 190]","[11, 76]",5,5,4,5,5,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.1757090092,0.113476038,787.813463,10.65408182,0.09564304352,3.495128632,,,,,,
