,Result,Result,Result,Result,Size Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Is MIS,Time,Time,Time,Time,Warnings,Warnings,Warnings,Warnings
,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2
brock200_2.clq.txt n=200 e=9876,"[16, 25, 28, 32, 84, 91, 156, 157, 186, 187, 192]","[2, 55, 97, 99, 104, 106, 110, 128, 167, 177, 187]","[132, 135, 168, 82, 19, 181, 90, 31, 63]","[159, 44, 81, 178, 179, 125, 22, 54, 63, 127]",11,11,9,10,TRUE,TRUE,TRUE,TRUE,19.18413973,33.03552032,3.635448933,18.49187565,,,,
brock200_4.clq.txt n=200 e=13089,"[21, 26, 111, 115, 125, 135, 140, 146]","[7, 21, 43, 44, 95, 117, 181, 195]","[65, 49, 82, 135, 59, 93, 95]","[163, 132, 135, 172, 111, 146, 150, 26]",8,8,7,8,TRUE,TRUE,TRUE,TRUE,26.85378027,46.46403313,1.73760581,9.281653881,,,,
brock400_2.clq.txt n=400 e=59786,"[76, 102, 141, 193, 232, 279, 359]","[82, 231, 233, 245, 286, 325, 386]","[131, 243, 200, 187, 237, 270, 303]","[131, 243, 200, 187, 237, 270, 303]",7,7,7,7,TRUE,TRUE,TRUE,TRUE,187.6459913,316.7463284,8.565129757,44.47532988,,,,
brock400_4.clq.txt n=400 e=59765,"[3, 30, 31, 146, 251, 340, 346]","[22, 50, 70, 93, 103, 361, 370]","[294, 7, 360, 104, 45, 366]","[368, 321, 159, 51, 148, 245, 303]",7,7,6,7,TRUE,TRUE,TRUE,TRUE,1071.688596,321.7144213,9.089402676,43.96955967,,,,
brock800_2.clq.txt n=800 e=208166,"[48, 89, 186, 265, 267, 287, 575, 659, 732]",set(),"[5, 46, 719, 278, 374, 504, 60, 127]","[672, 679, 298, 554, 690, 115, 660, 310, 476]",9,0,8,9,TRUE,FALSE,TRUE,TRUE,1788.428124,1800,175.434242,659.751452,,TIMEOUT,,
brock800_4.clq.txt n=800 e=207643,"[31, 54, 102, 264, 272, 288, 326, 365, 380]",set(),"[547, 714, 493, 111, 601, 122, 92, 734]","[0, 648, 714, 749, 403, 248, 665, 475, 62]",9,0,8,9,TRUE,FALSE,TRUE,TRUE,1932.412968,1800,176.3224216,870.7223682,,TIMEOUT,,
C1000.9.clq.txt n=1000 e=450079,set(),set(),"[115, 548, 660, 186, 911]","[145, 774, 534, 603, 700]",0,0,5,5,FALSE,FALSE,TRUE,TRUE,1800,1800,187.0713463,923.9468338,TIMEOUT,TIMEOUT,,
C125.9.clq.txt n=125 e=6963,"[15, 28, 52, 75]","[25, 36, 94, 97]","[97, 36, 94, 25]","[72, 121, 35, 89]",4,4,4,4,TRUE,TRUE,TRUE,TRUE,13.42938042,20.7410326,0.1964788437,0.9201250076,,,,
C2000.9.clq.txt n=1000 e=450079,set(),set(),"[115, 147, 201, 282, 799]","[838, 8, 410, 571, 542]",0,0,5,5,FALSE,FALSE,TRUE,TRUE,1800,1800,96.16908431,344.9819152,TIMEOUT,TIMEOUT,,
